get_p : cur_node = 140, value = 4
get_num : cur_node = 140, value = 4
get_p : cur_node = 142, value = #a
get_var : cur_node = 142, value = #a
get_p : cur_node = 144, value = #c
get_var : cur_node = 144, value = #c
get_exp : cur_node = 148, value = CalcOnlyOneRoot
get_t : cur_node = 148, value = CalcOnlyOneRoot
get_p : cur_node = 148, value = CalcOnlyOneRoot
get_func : cur_node = 148, value = CalcOnlyOneRoot
get_var : cur_node = 148, value = CalcOnlyOneRoot
get_exp : cur_node = 150, value = #a
get_t : cur_node = 150, value = #a
get_p : cur_node = 150, value = #a
get_var : cur_node = 150, value = #a
get_func : cur_node = 151, value = ,
get_exp : cur_node = 152, value = #b
get_t : cur_node = 152, value = #b
get_p : cur_node = 152, value = #b
get_var : cur_node = 152, value = #b
get_op : cur_node = 155, value = POSHLU
get_exp : cur_node = 156, value = (
get_t : cur_node = 156, value = (
get_p : cur_node = 156, value = (
get_exp : cur_node = 157, value = 0
get_t : cur_node = 157, value = 0
get_p : cur_node = 157, value = 0
get_num : cur_node = 157, value = 0
get_t : cur_node = 159, value = #b
get_p : cur_node = 159, value = #b
get_var : cur_node = 159, value = #b
get_p : cur_node = 161, value = 1000
get_num : cur_node = 161, value = 1000
get_p : cur_node = 163, value = (
get_exp : cur_node = 164, value = 2
get_t : cur_node = 164, value = 2
get_p : cur_node = 164, value = 2
get_num : cur_node = 164, value = 2
get_p : cur_node = 166, value = #a
get_var : cur_node = 166, value = #a
get_exp : cur_node = 172, value = CalcFirstRoot
get_t : cur_node = 172, value = CalcFirstRoot
get_p : cur_node = 172, value = CalcFirstRoot
get_func : cur_node = 172, value = CalcFirstRoot
get_var : cur_node = 172, value = CalcFirstRoot
get_exp : cur_node = 174, value = #a
get_t : cur_node = 174, value = #a
get_p : cur_node = 174, value = #a
get_var : cur_node = 174, value = #a
get_func : cur_node = 175, value = ,
get_exp : cur_node = 176, value = #b
get_t : cur_node = 176, value = #b
get_p : cur_node = 176, value = #b
get_var : cur_node = 176, value = #b
get_exp : cur_node = 178, value = #SqD
get_t : cur_node = 178, value = #SqD
get_p : cur_node = 178, value = #SqD
get_var : cur_node = 178, value = #SqD
get_op : cur_node = 181, value = POSHLU
get_exp : cur_node = 182, value = 0
get_t : cur_node = 182, value = 0
get_p : cur_node = 182, value = 0
get_num : cur_node = 182, value = 0
get_t : cur_node = 184, value = (
get_p : cur_node = 184, value = (
get_exp : cur_node = 185, value = #b
get_t : cur_node = 185, value = #b
get_p : cur_node = 185, value = #b
get_var : cur_node = 185, value = #b
get_t : cur_node = 187, value = #SqD
get_p : cur_node = 187, value = #SqD
get_var : cur_node = 187, value = #SqD
get_p : cur_node = 190, value = 1000
get_num : cur_node = 190, value = 1000
get_p : cur_node = 192, value = (
get_exp : cur_node = 193, value = 2
get_t : cur_node = 193, value = 2
get_p : cur_node = 193, value = 2
get_num : cur_node = 193, value = 2
get_p : cur_node = 195, value = #a
get_var : cur_node = 195, value = #a
get_exp : cur_node = 200, value = CalcSecRoot
get_t : cur_node = 200, value = CalcSecRoot
get_p : cur_node = 200, value = CalcSecRoot
get_func : cur_node = 200, value = CalcSecRoot
get_var : cur_node = 200, value = CalcSecRoot
get_exp : cur_node = 202, value = #a
get_t : cur_node = 202, value = #a
get_p : cur_node = 202, value = #a
get_var : cur_node = 202, value = #a
get_func : cur_node = 203, value = ,
get_exp : cur_node = 204, value = #b
get_t : cur_node = 204, value = #b
get_p : cur_node = 204, value = #b
get_var : cur_node = 204, value = #b
get_exp : cur_node = 206, value = #SqD
get_t : cur_node = 206, value = #SqD
get_p : cur_node = 206, value = #SqD
get_var : cur_node = 206, value = #SqD
get_op : cur_node = 209, value = POSHLU
get_exp : cur_node = 210, value = 0
get_t : cur_node = 210, value = 0
get_p : cur_node = 210, value = 0
get_num : cur_node = 210, value = 0
get_t : cur_node = 212, value = (
get_p : cur_node = 212, value = (
get_exp : cur_node = 213, value = #b
get_t : cur_node = 213, value = #b
get_p : cur_node = 213, value = #b
get_var : cur_node = 213, value = #b
get_t : cur_node = 215, value = #SqD
get_p : cur_node = 215, value = #SqD
get_var : cur_node = 215, value = #SqD
get_p : cur_node = 218, value = 1000
get_num : cur_node = 218, value = 1000
get_p : cur_node = 220, value = (
get_exp : cur_node = 221, value = 2
get_t : cur_node = 221, value = 2
get_p : cur_node = 221, value = 2
get_num : cur_node = 221, value = 2
get_p : cur_node = 223, value = #a
get_var : cur_node = 223, value = #a
